lvef,crea,gender,Procedure,Mortality,Morbidity_Mortality,DSW_Infection,Long_LOS,Perm_Stroke,Prolong_Vent,Renal_failure,Reoperation,Short_LOS
17.8947368421053,2.30526315789474,Male,AV Replacement + CAB,0.0429,0.28402,0.00182,0.13161,0.01719,0.15372,0.09113,0.12157,0.21952
17.8947368421053,2.30526315789474,Female,AV Replacement + CAB,0.05924,0.32874,0.00213,0.17328,0.02037,0.22124,0.11034,0.11434,0.14115
17.8947368421053,2.42105263157895,Male,AV Replacement + CAB,0.04508,0.29624,0.00182,0.1372,0.01766,0.15956,0.09926,0.12465,0.21022
17.8947368421053,2.42105263157895,Female,AV Replacement + CAB,0.0622,0.34197,0.00213,0.18026,0.02092,0.22895,0.11996,0.11726,0.13459
17.8947368421053,2.53684210526316,Male,AV Replacement + CAB,0.04737,0.30875,0.00182,0.14298,0.01814,0.16556,0.10803,0.12779,0.20121
17.8947368421053,2.53684210526316,Female,AV Replacement + CAB,0.06529,0.35544,0.00213,0.18746,0.02149,0.23683,0.1303,0.12024,0.12829
17.8947368421053,2.65263157894737,Male,AV Replacement + CAB,0.04976,0.32156,0.00182,0.14897,0.01863,0.17176,0.11748,0.131,0.19248
17.8947368421053,2.65263157894737,Female,AV Replacement + CAB,0.06853,0.36915,0.00213,0.19489,0.02207,0.24491,0.14139,0.12329,0.12225
17.8947368421053,2.76842105263158,Male,AV Replacement + CAB,0.05227,0.33464,0.00182,0.15516,0.01914,0.17813,0.12764,0.13428,0.18405
17.8947368421053,2.76842105263158,Female,AV Replacement + CAB,0.07192,0.38307,0.00213,0.20254,0.02267,0.25317,0.15325,0.12641,0.11645
17.8947368421053,2.88421052631579,Male,AV Replacement + CAB,0.0549,0.34799,0.00182,0.16156,0.01965,0.18469,0.13854,0.13763,0.17591
17.8947368421053,2.88421052631579,Female,AV Replacement + CAB,0.07546,0.39719,0.00213,0.2104,0.02328,0.26161,0.16592,0.12959,0.11089
17.8947368421053,3,Male,AV Replacement + CAB,0.05766,0.36157,0.00182,0.16817,0.02019,0.19144,0.15021,0.14105,0.16805
17.8947368421053,3,Female,AV Replacement + CAB,0.07916,0.41149,0.00213,0.21849,0.02391,0.27023,0.17942,0.13284,0.10556
20.5263157894737,0.8,Male,AV Replacement + CAB,0.02177,0.15134,0.00182,0.07329,0.01212,0.09036,0.02813,0.08574,0.37446
20.5263157894737,0.8,Female,AV Replacement + CAB,0.03031,0.18044,0.00213,0.09858,0.01438,0.13447,0.03456,0.08045,0.25913
